date,open,high,low,close,mode,L,H,cand_H,thr56,event
2020-04-13,0.9944,0.9945,0.9862,0.9888,none,0.9002,,,,
2020-04-14,0.9908,0.995,0.9885,0.9885,none,0.9002,,,,
2020-04-15,0.989,0.995,0.9886,0.991,none,0.9002,,,,
2020-04-16,0.991,0.9933,0.9874,0.9933,none,0.9002,,,,
2020-04-17,0.9933,0.994,0.9924,0.9937,none,0.9002,,,,
2020-04-18,0.9937,0.995,0.9908,0.9947,none,0.9002,,,,
2020-04-19,0.9947,0.9948,0.9912,0.9947,none,0.9002,,,,
2020-04-20,0.9947,0.9966,0.9944,0.9947,none,0.9002,,,,
2020-04-21,0.9947,0.9984,0.9947,0.9984,none,0.9002,,,,
2020-04-22,0.9957,0.9977,0.9948,0.9973,none,0.9002,,,,
2020-04-23,0.9976,0.9983,0.9953,0.9959,none,0.9002,,,,
2020-04-24,0.9959,0.9982,0.995,0.9969,none,0.9002,,,,
2020-04-25,0.9969,0.998,0.9923,0.9965,none,0.9002,,,,
2020-04-26,0.9965,0.9982,0.995,0.9955,none,0.9002,,,,
2020-04-27,0.9957,0.9975,0.9922,0.9922,none,0.9002,,,,
2020-04-28,0.9922,0.9954,0.9851,0.9891,none,0.9002,,,,
2020-04-29,0.9891,0.9952,0.9876,0.9876,none,0.9002,,,,
2020-04-30,0.9919,0.9946,0.9879,0.9939,none,0.9002,,,,
2020-05-01,0.9939,0.9944,0.9899,0.9899,none,0.9002,,,,
2020-05-02,0.9899,0.992,0.9875,0.9911,none,0.9002,,,,
2020-05-03,0.9916,0.9934,0.9916,0.9933,none,0.9002,,,,
2020-05-04,0.9933,0.9936,0.99,0.9902,none,0.9002,,,,
2020-05-05,0.9904,0.9929,0.99,0.9901,none,0.9002,,,,
2020-05-06,0.9904,0.9935,0.9889,0.9934,none,0.9002,,,,
2020-05-07,0.9934,0.9939,0.9934,0.9935,none,0.9002,,,,
2020-05-08,0.9935,0.9939,0.9935,0.9938,none,0.9002,,,,
2020-05-09,0.9938,0.998,0.9938,0.9977,none,0.9002,,,,
2020-05-10,0.9955,0.9977,0.9857,0.988,none,0.9002,,,,
2020-05-11,0.9897,0.9962,0.9897,0.9962,none,0.9002,,,,
2020-05-12,0.9962,0.9971,0.9939,0.9971,none,0.9002,,,,
2020-05-13,0.9971,0.9982,0.9958,0.9981,none,0.9002,,,,
2020-05-14,0.9978,0.9978,0.9959,0.9977,none,0.9002,,,,
2020-05-15,0.9969,0.9985,0.9967,0.9985,none,0.9002,,,,
2020-05-16,0.9985,0.9998,0.9985,0.9995,none,0.9002,,,,
2020-05-17,0.9995,0.9999,0.9973,0.9973,none,0.9002,,,,
2020-05-18,0.9973,0.9999,0.9973,0.9973,none,0.9002,,,,
2020-05-19,0.9996,0.9999,0.9943,0.9983,none,0.9002,,,,
2020-05-20,0.997,0.9983,0.9943,0.995,none,0.9002,,,,
2020-05-21,0.9972,0.9999,0.9943,0.9999,none,0.9002,,,,
2020-05-22,0.9997,0.9999,0.9975,0.9999,none,0.9002,,,,
2020-05-23,0.9999,1.0,0.9976,0.9999,none,0.9002,,,,
2020-05-24,0.9978,1.0,0.9977,1.0,none,0.9002,,,,
2020-05-25,0.9999,1.0,0.9976,0.9981,none,0.9002,,,,
2020-05-26,0.9977,0.9999,0.9977,0.9977,none,0.9002,,,,
2020-05-27,0.9998,1.0,0.9973,0.9973,none,0.9002,,,,
2020-05-28,0.9996,1.0001,0.9973,0.9974,none,0.9002,,,,
2020-05-29,0.9974,1.0001,0.9974,1.0001,none,0.9002,,,,
2020-05-30,0.9976,1.0007,0.9976,1.0007,none,0.9002,,,,
2020-05-31,1.0007,1.0007,0.9974,0.9974,none,0.9002,,,,
2020-06-01,0.9975,0.9985,0.995,0.995,none,0.9002,,,,
2020-06-02,0.9951,1.0001,0.9951,0.9983,none,0.9002,,,,
2020-06-03,0.9982,0.9983,0.998,0.998,none,0.9002,,,,
2020-06-04,0.9983,0.9999,0.998,0.9999,none,0.9002,,,,
2020-06-05,0.998,0.9999,0.998,0.9999,none,0.9002,,,,
2020-06-06,0.9999,0.9999,0.998,0.998,none,0.9002,,,,
2020-06-07,0.9999,0.9999,0.9953,0.9966,none,0.9002,,,,
2020-06-08,0.9966,0.9996,0.9966,0.9996,none,0.9002,,,,
2020-06-09,0.9988,0.9996,0.9982,0.9982,none,0.9002,,,,
2020-06-10,0.9982,0.9996,0.9982,0.9995,none,0.9002,,,,
2020-06-11,0.9995,0.9996,0.9953,0.9996,none,0.9002,,,,
2020-06-12,0.9996,1.0002,0.9954,1.0002,none,0.9002,,,,
2020-06-13,1.0002,1.0005,0.9979,0.9979,none,0.9002,,,,
2020-06-14,0.9979,1.001,0.9959,0.9992,none,0.9002,,,,
2020-06-15,0.9967,0.9995,0.9967,0.9995,none,0.9002,,,,
2020-06-16,0.9995,0.9995,0.9967,0.9995,none,0.9002,,,,
2020-06-17,0.9995,1.001,0.9951,0.9951,none,0.9002,,,,
2020-06-18,0.9985,1.0006,0.9973,0.9973,none,0.9002,,,,
2020-06-19,0.9973,1.0005,0.9973,1.0004,none,0.9002,,,,
2020-06-20,1.0004,1.001,0.9974,1.0005,none,0.9002,,,,
2020-06-21,0.9998,1.001,0.9981,1.0009,none,0.9002,,,,
2020-06-22,0.9981,1.0009,0.9978,0.9979,none,0.9002,,,,
2020-06-23,1.0008,1.0008,0.9978,0.998,none,0.9002,,,,
2020-06-24,0.998,0.998,0.9963,0.9968,none,0.9002,,,,
