date,open,high,low,close,H,L_now,mode,stage,event,next_buy_level_name,next_buy_level_price,cutoff_price,position,basis,level_name,level_price,trigger_price,fill_price,rebound_from_L_pct,threshold_pct,forbidden_levels_above_last_sell,B1,B2,B3,B4,B5,B6,B7,next_buy_trigger_price
2025-03-21,251.5,256.4,242.3,247.5,1249.0,212.4,wait,7,,,,,True,,,,,,20.715631,98.5,7,699.44,649.48,574.54,512.09,437.15,349.72,262.29,242.3
2025-03-22,247.6,254.7,246.5,248.0,1249.0,212.4,wait,7,,,,,True,,,,,,19.915254,98.5,7,699.44,649.48,574.54,512.09,437.15,349.72,262.29,246.5
2025-03-23,248.0,258.1,246.3,257.0,1249.0,212.4,wait,7,,,,,True,,,,,,21.516008,98.5,7,699.44,649.48,574.54,512.09,437.15,349.72,262.29,246.3
2025-03-24,257.0,275.4,253.3,269.5,1249.0,212.4,wait,7,,B7,262.29,,True,,,,,,29.661017,98.5,7,699.44,649.48,574.54,512.09,437.15,349.72,262.29,253.3
2025-03-25,269.4,281.0,262.6,269.9,1249.0,212.4,wait,7,,B7,262.29,,True,,,,,,32.297552,98.5,7,699.44,649.48,574.54,512.09,437.15,349.72,262.29,262.6
2025-03-26,270.0,284.0,255.4,260.8,1249.0,212.4,wait,7,,B7,262.29,,True,,,,,,33.709981,98.5,7,699.44,649.48,574.54,512.09,437.15,349.72,262.29,255.4
2025-03-27,260.9,278.2,260.2,269.3,1249.0,212.4,wait,7,,B7,262.29,,True,,,,,,30.979284,98.5,7,699.44,649.48,574.54,512.09,437.15,349.72,262.29,260.2
2025-03-28,269.2,270.8,238.6,244.5,1249.0,212.4,wait,7,,B7,262.29,,True,,,,,,27.495292,98.5,7,699.44,649.48,574.54,512.09,437.15,349.72,262.29,238.6
2025-03-29,244.6,245.5,221.0,231.2,1249.0,212.4,wait,7,,,,,True,,,,,,15.583804,98.5,7,699.44,649.48,574.54,512.09,437.15,349.72,262.29,221.0
2025-03-30,231.3,237.5,222.4,226.9,1249.0,212.4,wait,7,,,,,True,,,,,,11.817326,98.5,7,699.44,649.48,574.54,512.09,437.15,349.72,262.29,222.4
